step time temp atoms pxx pyy pzz lx ly lz density
17000 517000 283.406935634309 750 1.01283000507165 1.22118109951078 0.928055181512486 224.237009861165 224.237009861165 224.237009861165 0.001620349455971
18000 518000 273.628580902839 750 1.01859316723926 1.23533479253776 1.11463178204608 217.399955926981 217.399955926981 217.399955926981 0.00177808375152577
19000 519000 258.307078139594 750 1.38906460655061 1.22775951836535 0.842125564095441 212.471909035369 212.471909035369 212.471909035369 0.00190469748539499
20000 520000 280.832140771052 750 1.3048117936695 1.4302660371225 0.910068701477905 215.165053027677 215.165053027677 215.165053027677 0.0018340677052891
21000 521000 294.763581948533 750 1.06150625915701 1.24104970002897 1.27718437075207 219.45214677072 219.45214677072 219.45214677072 0.00172866590948137
22000 522000 272.105366838858 750 1.09209402218687 1.22689122064486 1.05252319469357 218.171755181865 218.171755181865 218.171755181865 0.0017592801065989
23000 523000 270.56054311189 750 1.26115095123492 1.5226291269222 1.07536659551738 209.260943918798 209.260943918798 209.260943918798 0.00199372855252317
24000 524000 284.906084165756 750 1.68940674664918 1.20918763017429 1.14430821063358 209.948308203579 209.948308203579 209.948308203579 0.00197421037679105
25000 525000 287.439965035052 750 1.32944687074019 1.27339604970146 1.14841494612857 214.052191888878 214.052191888878 214.052191888878 0.00186282273789892
26000 526000 267.91509479537 750 1.02164113551643 1.30502132857503 1.02571113949248 215.191124810717 215.191124810717 215.191124810717 0.00183340115890366
27000 527000 286.523411780628 750 1.38856051546761 1.39136164378415 0.856295161747028 213.810442735464 213.810442735464 213.810442735464 0.00186914860094936
28000 528000 283.270057749032 750 1.45636255895554 1.2083279896062 1.05041492736237 211.721415885088 211.721415885088 211.721415885088 0.00192502422619262
29000 529000 283.422134196555 750 1.3130143670529 1.11102485078025 1.44032105337353 208.864020488502 208.864020488502 208.864020488502 0.00200511676217617
30000 530000 280.031261183603 750 1.42064711155761 1.11684523046389 1.39241253266705 207.286764129241 207.286764129241 207.286764129241 0.00205123705087604
31000 531000 270.096079519061 750 1.31814214490663 1.14414947644943 1.17627015415034 211.519797895018 211.519797895018 211.519797895018 0.00193053420096566
32000 532000 279.666138251093 750 1.10195601223208 1.46379107486705 0.855142495383345 215.450102578902 215.450102578902 215.450102578902 0.00182679768608088
33000 533000 284.288184688145 750 0.960439584208214 1.65361514771195 1.07388675598384 211.087996533847 211.087996533847 211.087996533847 0.00194240574787977
34000 534000 288.011093676637 750 1.45762150704183 1.51172447396806 1.08004051133522 205.973181875717 205.973181875717 205.973181875717 0.00209073280823
35000 535000 265.832518013645 750 0.973747709490866 1.51604001424217 1.12736664813193 206.972474901097 206.972474901097 206.972474901097 0.00206059570341005
36000 536000 289.208321960834 750 1.37406740872899 1.43173195046423 0.964280200189366 209.606008557106 209.606008557106 209.606008557106 0.00198389820534628
37000 537000 285.207293191291 750 1.22774961247901 1.11050413273298 1.17266426017784 211.008749271902 211.008749271902 211.008749271902 0.00194459506214586
38000 538000 294.832546118065 750 1.28198261122612 1.15443975428945 1.43335849278329 208.400986817117 208.400986817117 208.400986817117 0.00201851162592724
39000 539000 284.871838691486 750 1.35451939222747 1.56775860530127 1.23270912888843 201.628211036507 201.628211036507 201.628211036507 0.00222882863101397
40000 540000 262.533034379265 750 1.19831729166553 1.36679694940736 1.31177405412184 202.918402026462 202.918402026462 202.918402026462 0.00218658451207731
41000 541000 274.428690330164 750 1.16976425757755 1.38229938325794 1.05700037385689 208.620148389117 208.620148389117 208.620148389117 0.00201215678991746
42000 542000 268.453697564311 750 1.11036753905289 1.4832285709003 0.836484676522019 209.168612218955 209.168612218955 209.168612218955 0.00199636994716494
43000 543000 277.578115912623 750 1.14578173844836 1.53731230544224 1.15594360932196 206.348600963935 206.348600963935 206.348600963935 0.00207934227015036
44000 544000 286.50243890289 750 1.4790167738423 1.34268598919855 1.2824391040399 204.238031621163 204.238031621163 204.238031621163 0.00214447367707371
45000 545000 279.303919955438 750 1.18720833808099 1.9949531728529 1.07217990003815 202.900659234568 202.900659234568 202.900659234568 0.00218715818453488
