step time temp atoms pxx pyy pzz lx ly lz density IL_con ACN_con
20000 20000 290.766889720829 3065 63.4471523528167 -1.13158984440658 68.9765067915992 47.4179542411793 47.4179542411793 47.4179542411793 0.885633070583782 1.01238141939151 14.5627173404779
21000 21000 305.915682092906 3065 -81.2027252112565 -33.7860815346753 198.69500549109 47.5114011888542 47.5114011888542 47.5114011888542 0.880417667286293 1.00641960792762 14.4769589755742
22000 22000 302.125798753092 3065 103.62979698733 244.590178980248 -128.820445136272 47.3893154159695 47.3893154159695 47.3893154159695 0.887239687276592 1.01421796879545 14.5891353972884
23000 23000 296.039503235305 3065 -53.7177034322085 -244.264098952174 -84.4575318808212 47.6732808254221 47.6732808254221 47.6732808254221 0.871479434595386 0.996202170256159 14.329985064454
24000 24000 304.669423052201 3065 -2.05146501336128 -25.7585607649646 -215.083748393477 47.5253240051194 47.5253240051194 47.5253240051194 0.879644123727867 1.00553535783393 14.4642393780726
25000 25000 298.295108630709 3065 -104.512754056876 240.667966179095 -169.341220456339 47.5932751991229 47.5932751991229 47.5932751991229 0.875881770646108 1.00123455146199 14.4023739325686
26000 26000 295.540448632376 3065 18.1498915717329 5.69788275642682 148.336994059363 47.5122379228256 47.5122379228256 47.5122379228256 0.880371153224023 1.00636643695428 14.4761941315731
27000 27000 294.725179593396 3065 -306.391542223201 224.882753372831 299.711280598228 47.3833554356386 47.3833554356386 47.3833554356386 0.887574526136669 1.01460072848644 14.5946412482281
28000 28000 294.9675227384 3065 -113.46621179438 58.6603629127054 77.2645403922895 47.5137757873999 47.5137757873999 47.5137757873999 0.880285671838942 1.00626872180697 14.4747885367617
29000 29000 290.768784866471 3065 300.024331841771 99.9113621495242 157.132073304468 47.4214111942156 47.4214111942156 47.4214111942156 0.885439400551088 1.01216003205955 14.5595327688566
30000 30000 299.100286748833 3065 -276.458869913516 -72.7585571751757 -225.333945250389 47.51186125421 47.51186125421 47.51186125421 0.880392091836213 1.00639037221893 14.4765384311493
31000 31000 295.687431763933 3065 -171.761422664976 185.260023556479 146.703204760746 47.3355301386393 47.3355301386393 47.3355301386393 0.890267519160631 1.01767913216237 14.6389229011049
32000 32000 295.503705208197 3065 -194.85403594572 75.3472991683962 306.761048734089 47.6610002117483 47.6610002117483 47.6610002117483 0.872153259739739 0.996972430625516 14.3410649636132
33000 33000 297.671579106804 3065 447.263465234544 -141.509113417074 137.343209186639 47.4384788305738 47.4384788305738 47.4384788305738 0.884484041850551 1.01106794615016 14.543823533083
34000 34000 292.938944432736 3065 14.2251207351514 -248.209995379352 74.1978428336064 47.4961617955919 47.4961617955919 47.4961617955919 0.881265399141552 1.00738866385766 14.490898472414
35000 35000 309.970793435521 3065 36.4648745589785 142.17420468861 95.8539600731321 47.4715309677392 47.4715309677392 47.4715309677392 0.882637857134265 1.00895754268216 14.5134661908896
