cmx cmy cmz ux uy uz costheta
#properties of cations
2.152750549305230265e+01 -3.521076044741505706e-01 2.067453498230986781e+02 3.875836647957615066e-01 -5.346914748169244724e-01 7.509220529066843453e-01 3.875836647957615066e-01
8.972244291477837308e+00 2.770176215805673436e+01 1.960681344944045748e+02 -3.253007879302441951e-01 -6.110227783393933354e-01 -7.216859162560752550e-01 -3.253007879302441951e-01
2.282484382324698746e+00 2.969462227935944298e+01 1.992117818504326863e+02 -1.596037228006854380e-01 -7.495210777732752572e-02 9.843316682947357288e-01 -1.596037228006854380e-01
3.165884425871060515e+01 1.467359925610578664e+01 2.037944028735738868e+02 5.108809206794493463e-01 3.421020865605365335e-01 7.886487477049876071e-01 5.108809206794493463e-01
-1.176098254004557697e+00 2.823043841720495717e+00 2.033292542860336596e+02 -4.610815558880196341e-01 -3.453170463936651724e-01 8.174105065937422587e-01 -4.610815558880196341e-01
2.681891550515256739e+01 3.221948694249511647e+01 2.041098048915428365e+02 1.132952459040500043e-01 4.032284535923667534e-01 9.080589196021640053e-01 1.132952459040500043e-01
1.288698877510396379e+01 2.777755447213830209e+01 1.941225745788265442e+02 -3.595104662261493500e-01 -4.494001336734029239e-01 -8.177968846407916992e-01 -3.595104662261493500e-01
3.294085064995662293e+01 3.337097644861778889e+01 1.955661964931891816e+02 6.686115288514774546e-01 -1.321838332168684682e-01 -7.317691287031620195e-01 6.686115288514774546e-01
3.665445159571039824e+01 3.915410676575955762e+00 1.948275497416636881e+02 -5.732998377704192489e-02 3.949689127996892091e-01 -9.169039376521160856e-01 -5.732998377704192489e-02
1.349871263523069764e+01 1.161467221653353254e+00 1.942208267260624552e+02 6.734293163766952306e-01 8.095447488659865409e-02 -7.348056401799402115e-01 6.734293163766952306e-01
-4.415036390708504954e-01 2.046593033155404839e+01 1.950011007605011173e+02 -6.047240714838908460e-01 -5.986895525200013335e-01 -5.252424364722891870e-01 -6.047240714838908460e-01
1.962509877158532490e+01 1.944314864876821858e+01 2.015072454177351631e+02 7.446367402374573508e-02 5.710499690219476010e-01 8.175310967363370596e-01 7.446367402374573508e-02
1.572005317032645699e+01 2.340003852015966856e+01 1.965724648316673608e+02 -6.029228288956102189e-01 -3.130266689320579943e-01 -7.338244796501507405e-01 -6.029228288956102189e-01
9.703835739099453406e+00 2.927086945670602702e+01 2.040170309131126771e+02 -8.249964983672449792e-01 -5.056848096736650533e-02 5.628708612234578634e-01 -8.249964983672449792e-01
3.290892101472697817e+01 2.999361252999663208e+01 2.039899920398772792e+02 -4.300741269050770699e-01 1.833356770722198159e-01 8.839820557450849270e-01 -4.300741269050770699e-01
5.793165336459021653e+00 3.350911432940937118e+01 2.015972132159544685e+02 -6.669839588152648435e-01 2.797454932242511849e-01 6.905612628173095624e-01 -6.669839588152648435e-01
3.372093612267070029e+01 5.162170828248173748e-01 1.946219761583753041e+02 7.122242204308149027e-01 -7.449033613998098935e-02 -6.979884308879845678e-01 7.122242204308149027e-01
4.682129293390141278e+00 3.694951129914606014e+01 1.954088454523712528e+02 3.435314196906127937e-02 -7.091529857255274294e-01 -7.042172281856100557e-01 3.435314196906127937e-02
1.815566339241146565e+01 3.349615450851111120e+01 1.951213441420617016e+02 8.628363518122751374e-01 -2.917673124733154988e-01 -4.127775010382499499e-01 8.628363518122751374e-01
5.807376671933171863e+00 3.597668876122067871e+01 2.057265122414842722e+02 -2.795737918132922273e-01 -5.429515344605347904e-01 7.918599157414704104e-01 -2.795737918132922273e-01
3.941997471100636119e+01 1.472681588587138357e+01 2.042744922473288227e+02 -3.840023595884678453e-01 -3.286256864449686454e-01 8.628715698405309276e-01 -3.840023595884678453e-01
1.919339337923960898e+01 3.627193843688121433e+01 2.033228014550981300e+02 -1.005268192756433587e-01 -3.599817748688312613e-01 9.275276170382250607e-01 -1.005268192756433587e-01
4.952793255957529617e+00 3.115431579235603987e+00 1.978304031655943902e+02 -1.176863618606853283e-02 4.028027621484546739e-01 -9.152111417634158919e-01 -1.176863618606853283e-02
5.102811685539947462e+00 5.070401673183659419e+00 2.052544137717586921e+02 -8.754799474709050733e-01 -3.959090197370405684e-01 2.771117277691381164e-01 -8.754799474709050733e-01
9.143458615784583188e+00 6.076392362799000857e+00 1.939707159455900012e+02 1.150798904356663405e-01 -1.155617382306558388e-02 -9.932890181935396523e-01 1.150798904356663405e-01
