# Chunk-averaged data for fix stress_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_mystress[1] c_mystress[2] c_mystress[3] density/number
1000000 1500 310000
  406 -9.45 50.495 -2999.81 -2539.72 235.355 0.10099
  407 -9.35 50.483 1941.76 3811.38 -2115.35 0.100966
  408 -9.25 50.789 -892.372 2415.62 -875.851 0.101578
  409 -9.15 50.901 -1376.68 3812.6 -1312 0.101802
  410 -9.05 50.532 -571.311 -367.679 4289.41 0.101064
  411 -8.95 50.733 1010.08 -2707.3 -1898.2 0.101466
  412 -8.85 51.106 -1951.74 -3896.5 -7449.58 0.102212
  413 -8.75 50.612 -1503.09 -271.609 -905.565 0.101224
  414 -8.65 50.78 5379.74 2278.26 3276.33 0.10156
  415 -8.55 50.955 -2857.46 -906.086 4462.25 0.10191
  416 -8.45 50.723 -558.754 -1417.93 1310.95 0.101446
  417 -8.35 51.108 2534 4593.77 1245.51 0.102216
  418 -8.25 51 -3125.35 -913.682 1619.25 0.102
  419 -8.15 50.833 -4480.25 -1478.41 850.896 0.101666
  420 -8.05 50.894 193.484 2259.89 -590.897 0.101788
  421 -7.95 50.801 5285.7 -1016.74 -683.097 0.101602
  422 -7.85 50.582 -3572.58 6259.31 -2286.99 0.101164
  423 -7.75 50.691 -3158.93 -5140.5 744.692 0.101382
  424 -7.65 50.467 6685.54 -1934.67 -5714.62 0.100934
  425 -7.55 50.41 1524.87 2901.76 3902.49 0.10082
  426 -7.45 50.528 -992.224 -696.115 -1191.64 0.101056
  427 -7.35 50.55 -510.639 692.324 800.122 0.1011
  428 -7.25 50.335 -6715.04 -4229.29 -5422.51 0.10067
  429 -7.15 50.829 5629.45 2716.24 5539.98 0.101658
  430 -7.05 50.621 4371.49 139.301 -2488.09 0.101242
  431 -6.95 50.093 2315.96 2212.58 4860.42 0.100186
  432 -6.85 50.418 2617.21 3806.73 4719.82 0.100836
  433 -6.75 50.276 3519.96 -596.565 2124.94 0.100552
  434 -6.65 50.296 1515.93 864.701 2657.33 0.100592
  435 -6.55 50.814 1575.64 2231.21 1782.48 0.101628
  436 -6.45 50.362 3783.41 1400.16 2131.19 0.100724
  437 -6.35 50.605 418.861 284.314 759.062 0.10121
  438 -6.25 50.594 1253.43 2584.48 -4263.26 0.101188
  439 -6.15 50.652 -2682.2 -3265.27 395.67 0.101304
  440 -6.05 50.932 884.869 234.012 -1944.37 0.101864
  441 -5.95 50.68 -1405.2 -2122.38 -2389.36 0.10136
  442 -5.85 50.778 1654.86 -2613.49 -2948.9 0.101556
  443 -5.75 50.558 -1280.06 2804.82 144.335 0.101116
  444 -5.65 50.793 -2442.38 1057.2 -1495.8 0.101586
  445 -5.55 50.688 2451.82 -2343.97 -4695.67 0.101376
  446 -5.45 50.623 -2290.64 -10.2829 -4498.83 0.101246
  447 -5.35 50.498 308.631 -1535.79 777.057 0.100996
  448 -5.25 50.217 3357.8 3150.1 -352.853 0.100434
  449 -5.15 50.491 -520.582 -1856.87 4981.16 0.100982
  450 -5.05 50.551 595.97 -240.787 -3461.47 0.101102
  451 -4.95 50.399 6261.81 4446.94 4320.15 0.100798
  452 -4.85 50.868 875.14 2944.61 846.121 0.101736
  453 -4.75 50.411 4454.04 4592.7 334.13 0.100822
  454 -4.65 50.463 4150.35 -558.948 5138.88 0.100926
  455 -4.55 50.392 -5417.85 2724.28 6970.43 0.100784
  456 -4.45 50.423 -1611.91 1353.87 684.411 0.100846
  457 -4.35 50.446 1676.08 1905.21 560.386 0.100892
  458 -4.25 50.562 -2748.79 -517.845 2782.77 0.101124
  459 -4.15 50.271 -723.305 -3399.17 -5210.49 0.100542
  460 -4.05 50.568 1664.3 9027.66 2843.73 0.101136
  461 -3.95 50.869 1095.02 840.691 4604.71 0.101738
  462 -3.85 50.596 -5119.14 9.07816 85.0977 0.101192
  463 -3.75 51.03 -2933.19 -2003.63 -3588.75 0.10206
  464 -3.65 50.601 -3224.69 2334.9 1988.74 0.101202
  465 -3.55 50.733 -5645.78 -4910.77 -3563.9 0.101466
  466 -3.45 50.568 1497.42 37.2222 3706.6 0.101136
  467 -3.35 50.832 -1972.77 -5291.21 -270.23 0.101664
  468 -3.25 50.821 7104.49 6923.36 2794.27 0.101642
  469 -3.15 50.368 905.576 2982.72 -1014.18 0.100736
  470 -3.05 50.807 -2933.03 2998.55 -5581.62 0.101614
